timestamp,rows,raw_delivery_text_rows,stored_delivery_signal_rows,original_parser_signal_rows,robust_parser_signal_rows
2022-02-07T12:05:05,122,122,122,101,122
2022-02-07T18:09:10,124,124,124,105,124
2022-02-08T12:07:00,122,122,122,103,122
2022-02-08T18:05:35,121,121,121,103,121
2022-02-09T12:08:19,120,120,120,102,120
2022-02-09T18:02:46,119,119,119,101,119
2022-02-10T12:02:37,119,119,119,102,119
2022-02-10T18:03:10,122,122,122,105,122
2022-02-11T12:02:48,120,120,120,103,120
2022-02-11T18:02:26,127,127,127,110,127
2022-02-12T12:02:21,127,127,127,110,127
2022-02-12T18:03:58,126,126,126,110,126
2022-02-13T12:12:47,127,127,127,111,127
2022-02-13T18:02:08,128,128,128,112,128
2022-02-14T12:02:21,129,129,129,114,129
2022-02-14T18:02:15,130,130,130,114,130
2022-02-15T12:02:18,138,138,138,123,138
2022-02-15T18:02:22,144,144,144,128,144
2022-02-16T12:04:03,143,143,143,126,143
2022-02-16T18:02:12,140,140,140,123,140
2022-02-17T12:02:09,132,132,132,115,132
2022-02-17T18:08:52,138,138,138,119,138
2022-02-18T12:03:49,140,140,140,121,140
2022-02-18T18:04:25,140,140,140,121,140
2022-02-19T12:00:00,155,155,155,135,155
2022-02-19T18:00:00,153,153,153,133,153
2022-02-20T12:00:00,159,159,159,139,159
2022-02-20T18:00:00,159,159,159,139,159
2022-02-21T12:00:00,153,153,153,134,153
2022-02-21T18:00:00,154,154,154,135,154
2022-02-22T12:00:00,146,146,146,127,146
2022-02-22T18:00:00,157,157,157,135,157
2022-02-23T12:00:00,160,160,160,137,160
2022-02-23T18:00:00,159,159,159,134,159
2022-02-24T12:00:00,154,154,154,130,154
2022-02-24T18:04:21,159,159,159,136,159
2022-02-25T12:03:57,162,162,162,138,162
2022-02-25T18:03:17,166,166,166,142,166
2022-02-26T12:01:50,171,171,171,147,171
2022-02-26T18:01:45,172,172,172,148,172
2022-02-27T12:01:45,170,170,170,146,170
2022-02-27T18:47:54,169,169,169,145,169
2022-02-28T12:01:51,165,165,165,141,165
2022-02-28T18:01:44,164,164,164,140,164
2022-03-01T12:01:30,164,164,164,140,164
2022-03-01T18:01:43,163,163,163,139,163
2022-03-02T12:01:40,160,160,160,137,160
2022-03-02T18:01:41,164,164,164,141,164
2022-03-03T12:01:31,168,168,168,143,168
2022-03-03T18:07:18,169,169,169,144,169
2022-03-04T12:01:39,172,172,172,149,172
2022-03-04T18:01:41,175,175,0,0,175
2022-03-05T12:01:52,179,179,0,0,179
2022-03-05T18:01:56,178,178,178,153,178
2022-03-06T12:01:35,177,177,177,152,177
2022-03-06T18:01:33,177,177,0,0,177
2022-03-07T12:02:07,177,177,177,151,177
2022-03-07T18:01:43,176,176,0,0,176
2022-03-08T12:01:55,175,175,175,149,175
2022-03-08T18:01:44,178,178,178,152,178
2022-03-09T12:01:41,183,183,183,153,183
2022-03-09T18:02:01,183,183,0,0,183
