seed,split,feature_set,train_rows,test_rows,train_positives,test_positives,train_prevalence,test_prevalence,valid_for_auc_ap,average_precision,roc_auc
0,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.8911339003349305,0.9945265830346475
0,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9368944448089664,0.9961917562724014
0,market_grouped,no_seller_identity,3554,1553,215,95,0.06049521665728756,0.061171925305859624,True,0.8603132680000927,0.9946646451519745
0,market_grouped,with_seller_identity,3554,1553,215,95,0.06049521665728756,0.061171925305859624,True,0.9204730916755062,0.9960941448270884
0,seller_blocked,no_seller_identity,3287,1820,310,0,0.09431092181320352,0.0,False,,
0,seller_blocked,with_seller_identity,3287,1820,310,0,0.09431092181320352,0.0,False,,
1,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9076348244828035,0.9955645161290322
1,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9485549563306754,0.9967891278375149
1,market_grouped,no_seller_identity,3506,1601,215,95,0.06132344552196235,0.05933791380387258,True,0.853050184767567,0.9943873628293842
1,market_grouped,with_seller_identity,3506,1601,215,95,0.06132344552196235,0.05933791380387258,True,0.9298212356523905,0.9964213322149997
1,seller_blocked,no_seller_identity,3580,1527,246,64,0.06871508379888268,0.04191224623444663,True,0.46233734267066,0.977027084757348
1,seller_blocked,with_seller_identity,3580,1527,246,64,0.06871508379888268,0.04191224623444663,True,0.5278183955639202,0.9804767600820232
2,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9347058067969567,0.9960685483870968
2,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9562784141315592,0.9973752986857826
2,market_grouped,no_seller_identity,3552,1555,215,95,0.06052927927927928,0.06109324758842444,True,0.868057053324871,0.9950324441240087
2,market_grouped,with_seller_identity,3552,1555,215,95,0.06052927927927928,0.06109324758842444,True,0.9257317837613698,0.9957462148521989
2,seller_blocked,no_seller_identity,3537,1570,226,84,0.06389595702572802,0.0535031847133758,True,0.735372731167885,0.9879149842978914
2,seller_blocked,with_seller_identity,3537,1570,226,84,0.06389595702572802,0.0535031847133758,True,0.3963826716508034,0.9243615009933988
3,random_row,no_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.938128112069188,0.9963971027479092
3,random_row,with_seller_identity,3574,1533,217,93,0.06071628427532177,0.060665362035225046,True,0.9539850830229588,0.9973080943847074
3,market_grouped,no_seller_identity,3564,1543,215,95,0.06032547699214366,0.06156837329876863,True,0.8909182691948743,0.9951293980808374
