sample,outcome,positive_rows,total_rows,positive_share,markets_total,markets_with_positive,market_support_share,max_positive_rows_in_market,fba_share_among_positive
nuovo_offer_raw_thirdparty,stored_winner_flag,0,5687,0.0,62,0,0.0,0,
nuovo_offer_raw_thirdparty,best_third_party,62,5687,0.010902057323720767,62,62,1.0,1,0.8709677419354839
nuovo_offer_raw_thirdparty,top_3,186,5687,0.0327061719711623,62,62,1.0,3,0.5913978494623656
nuovo_offer_raw_thirdparty,top_5,310,5687,0.05451028661860383,62,62,1.0,5,0.5451612903225806
nuovo_offer_raw_thirdparty,top_10,620,5687,0.10902057323720767,62,62,1.0,10,0.567741935483871
nuovo_offer_strict_dedup_thirdparty,stored_winner_flag,0,5663,0.0,62,0,0.0,0,
nuovo_offer_strict_dedup_thirdparty,best_third_party,62,5663,0.010948260639237154,62,62,1.0,1,0.8709677419354839
nuovo_offer_strict_dedup_thirdparty,top_3,186,5663,0.03284478191771146,62,62,1.0,3,0.5913978494623656
nuovo_offer_strict_dedup_thirdparty,top_5,310,5663,0.05474130319618577,62,62,1.0,5,0.5451612903225806
nuovo_offer_strict_dedup_thirdparty,top_10,620,5663,0.10948260639237153,62,62,1.0,10,0.567741935483871
nuovo_offer_relaxed_dedup_thirdparty,stored_winner_flag,0,5663,0.0,62,0,0.0,0,
nuovo_offer_relaxed_dedup_thirdparty,best_third_party,62,5663,0.010948260639237154,62,62,1.0,1,0.8709677419354839
nuovo_offer_relaxed_dedup_thirdparty,top_3,186,5663,0.03284478191771146,62,62,1.0,3,0.5913978494623656
nuovo_offer_relaxed_dedup_thirdparty,top_5,310,5663,0.05474130319618577,62,62,1.0,5,0.5451612903225806
nuovo_offer_relaxed_dedup_thirdparty,top_10,620,5663,0.10948260639237153,62,62,1.0,10,0.567741935483871
nuovo_seller_best_thirdparty,stored_winner_flag,0,5107,0.0,62,0,0.0,0,
nuovo_seller_best_thirdparty,best_third_party,62,5107,0.012140199725866458,62,62,1.0,1,0.8709677419354839
nuovo_seller_best_thirdparty,top_3,186,5107,0.03642059917759937,62,62,1.0,3,0.5913978494623656
nuovo_seller_best_thirdparty,top_5,310,5107,0.06070099862933229,62,62,1.0,5,0.5451612903225806
nuovo_seller_best_thirdparty,top_10,620,5107,0.12140199725866457,62,62,1.0,10,0.567741935483871
