timestamp,venduto_da,spedito_da,tipo_spedizione,prezzo_spedizione(€),parsed_shipping_price,spedizione_consegna
2022-02-17T18:08:52,Dagimarket,Dagimarket,A Pagamento,0.0,7.32,"Consegna a 7,32 € : 23 - 25 feb Maggiori informazioni"
2022-02-17T18:08:52,R-Shop360,R-Shop360,A Pagamento,0.0,5.08,"Consegna a 5,08 € : 25 feb - 1 mar Maggiori informazioni"
2022-02-17T18:08:52,TEC -,TEC -,A Pagamento,0.0,5.9,"Consegna a 5,90 € : 22 - 23 feb Maggiori informazioni Consegna più veloce: 21 - 22 feb Maggiori informazioni"
2022-02-17T18:08:52,CAREBSRL-IT,CAREBSRL-IT,A Pagamento,0.0,7.0,"Consegna a 7,00 € : 22 - 23 feb Maggiori informazioni Consegna più veloce: martedì, 22 feb Maggiori informazioni"
2022-02-17T18:08:52,MR CARTRIDGE,MR CARTRIDGE,A Pagamento,0.0,8.5,"Consegna a 8,50 € : 23 - 28 feb Maggiori informazioni"
2022-02-17T18:08:52,Good Brands Store,Good Brands Store,A Pagamento,0.0,5.16,"Consegna a 5,16 € : 28 feb - 8 mar Maggiori informazioni Consegna più veloce: 22 - 24 feb Maggiori informazioni"
2022-02-17T18:08:52,Flash Shopping,Flash Shopping,A Pagamento,0.0,6.76,"Consegna a 6,76 € : 2 - 7 mar Maggiori informazioni"
2022-02-17T18:08:52,You Get - Innovation & Technology,You Get - Innovation & Technology,A Pagamento,0.0,12.95,"Consegna a 12,95 € : 25 feb - 7 mar Maggiori informazioni"
2022-02-17T18:08:52,HousePc,HousePc,A Pagamento,0.0,3.0,"Consegna a 3,00 € : 21 - 22 feb Maggiori informazioni"
2022-02-17T18:08:52,MARRA HI TECH,MARRA HI TECH,A Pagamento,0.0,2.99,"Consegna a 2,99 € : 22 feb - 1 mar Maggiori informazioni Consegna più veloce: 21 - 22 feb Maggiori informazioni"
2022-02-17T18:08:52,Tienda Siglo XXI,Tienda Siglo XXI,A Pagamento,0.0,11.14,"Consegna a 11,14 € : 24 feb - 1 mar Maggiori informazioni Consegna più veloce: 22 - 24 feb Maggiori informazioni"
2022-02-17T18:08:52,Red Tech GmbH,Red Tech GmbH,A Pagamento,0.0,9.99,"Consegna a 9,99 € : 24 feb - 3 mar Maggiori informazioni"
2022-02-17T18:08:52,ProComponentes,ProComponentes,A Pagamento,0.0,13.71,"Consegna a 13,71 € : 1 - 7 mar Maggiori informazioni Consegna più veloce: 21 - 23 feb Maggiori informazioni"
2022-02-17T18:08:52,cadeau-son,cadeau-son,A Pagamento,0.0,8.9,"Consegna a 8,90 € : 2 - 7 mar Maggiori informazioni"
2022-02-17T18:08:52,Scontolo,Scontolo,A Pagamento,0.0,5.99,"Consegna a 5,99 € : 22 - 24 feb Maggiori informazioni Consegna più veloce: 21 - 23 feb Maggiori informazioni"
2022-02-17T18:08:52,SmartFunk,SmartFunk,A Pagamento,0.0,10.9,"Consegna a 10,90 € : 25 feb - 1 mar Maggiori informazioni"
2022-02-17T18:08:52,Tek4life,Tek4life,A Pagamento,0.0,0.14,"Consegna a 0,14 € : 22 - 24 feb Maggiori informazioni"
2022-02-17T18:08:52,All In Commerce,All In Commerce,A Pagamento,0.0,6.61,"Consegna a 6,61 € : 22 - 24 feb Maggiori informazioni"
2022-02-17T18:08:52,B&Bit Informatica,B&Bit Informatica,A Pagamento,0.0,4.0,"Consegna a 4,00 € : 25 feb - 2 mar Maggiori informazioni"
2022-02-17T18:08:52,Versão Portátil Não enviamos para ilhas Portuguesa,Versão Portátil Não enviamos para ilhas Portuguesa,A Pagamento,0.0,21.09,"Consegna a 21,09 € : 28 feb - 8 mar Maggiori informazioni"
