venduto_da,rank_pos_first,rank_pct_first,rank_pos_second,rank_pct_second,abs_rank_change,abs_rank_pct_change,market_date,first_timestamp,second_timestamp
Leelbox-EU,37,0.4044943820224719,6,0.056818181818181816,31,0.3476762002042901,2022-03-09,2022-03-09T12:01:41,2022-03-09T18:02:01
Red Tech GmbH,55,0.5869565217391305,81,0.8695652173913043,26,0.28260869565217384,2022-03-07,2022-03-07T12:02:07,2022-03-07T18:01:43
Monclick,8,0.08045977011494253,33,0.367816091954023,25,0.28735632183908044,2022-02-28,2022-02-28T12:01:51,2022-02-28T18:01:44
PARTY-GAMES,57,0.6292134831460674,33,0.3595505617977528,24,0.2696629213483146,2022-03-03,2022-03-03T12:01:31,2022-03-03T18:07:18
PARTY-GAMES,59,0.6304347826086957,35,0.3695652173913043,24,0.26086956521739135,2022-03-07,2022-03-07T12:02:07,2022-03-07T18:01:43
PARTY-GAMES,58,0.7402597402597403,35,0.44155844155844154,23,0.29870129870129875,2022-02-09,2022-02-09T12:08:19,2022-02-09T18:02:46
PARTY-GAMES,57,0.6436781609195402,34,0.3707865168539326,23,0.2728916440656076,2022-03-04,2022-03-04T12:01:39,2022-03-04T18:01:41
PARTY-GAMES,55,0.6136363636363636,32,0.3563218390804598,23,0.25731452455590387,2022-03-02,2022-03-02T12:01:40,2022-03-02T18:01:41
PARTY-GAMES,57,0.7368421052631579,35,0.44155844155844154,22,0.2952836637047163,2022-02-08,2022-02-08T12:07:00,2022-02-08T18:05:35
PARTY-GAMES,57,0.7272727272727273,35,0.44155844155844154,22,0.28571428571428575,2022-02-07,2022-02-07T12:05:05,2022-02-07T18:09:10
PARTY-GAMES,55,0.6206896551724138,35,0.39080459770114945,20,0.22988505747126436,2022-02-28,2022-02-28T12:01:51,2022-02-28T18:01:44
PARTY-GAMES,57,0.6292134831460674,38,0.4157303370786517,19,0.2134831460674157,2022-03-01,2022-03-01T12:01:30,2022-03-01T18:01:43
PARTY-GAMES,53,0.6842105263157895,35,0.4473684210526316,18,0.2368421052631579,2022-02-10,2022-02-10T12:02:37,2022-02-10T18:03:10
PARTY-GAMES,53,0.6842105263157895,35,0.4594594594594595,18,0.22475106685633,2022-02-11,2022-02-11T12:02:48,2022-02-11T18:02:26
PARTY-GAMES,56,0.6179775280898876,38,0.4111111111111111,18,0.2068664169787765,2022-03-08,2022-03-08T12:01:55,2022-03-08T18:01:44
PARTY-GAMES,55,0.6067415730337079,37,0.4090909090909091,18,0.1976506639427988,2022-03-09,2022-03-09T12:01:41,2022-03-09T18:02:01
PARTY-GAMES,51,0.684931506849315,34,0.44594594594594594,17,0.2389855609033691,2022-02-14,2022-02-14T12:02:21,2022-02-14T18:02:15
PARTY-GAMES,50,0.6447368421052632,33,0.42105263157894735,17,0.22368421052631582,2022-02-21,2022-02-21T12:00:00,2022-02-21T18:00:00
PARTY-GAMES,49,0.5925925925925926,32,0.38271604938271603,17,0.20987654320987653,2022-02-24,2022-02-24T12:00:00,2022-02-24T18:04:21
Happy Home Srl,62,0.6931818181818182,79,0.896551724137931,17,0.20336990595611282,2022-03-02,2022-03-02T12:01:40,2022-03-02T18:01:41
