market_date,first_timestamp,second_timestamp,common_sellers,sellers_with_rank_change,share_common_sellers_with_rank_change,median_abs_rank_change,max_abs_rank_change,best_third_party_changed,top_5_jaccard,top_10_jaccard
2022-02-07,2022-02-07T12:05:05,2022-02-07T18:09:10,76,38,0.5,0.5,22.0,False,1.0,1.0
2022-02-08,2022-02-08T12:07:00,2022-02-08T18:05:35,75,54,0.72,1.0,22.0,False,1.0,0.8181818181818182
2022-02-09,2022-02-09T12:08:19,2022-02-09T18:02:46,78,36,0.46153846153846156,0.0,23.0,False,1.0,1.0
2022-02-10,2022-02-10T12:02:37,2022-02-10T18:03:10,77,35,0.45454545454545453,0.0,18.0,False,1.0,1.0
2022-02-11,2022-02-11T12:02:48,2022-02-11T18:02:26,74,48,0.6486486486486487,1.0,18.0,False,0.6666666666666666,0.8181818181818182
2022-02-12,2022-02-12T12:02:21,2022-02-12T18:03:58,73,17,0.2328767123287671,0.0,4.0,False,1.0,0.8181818181818182
2022-02-13,2022-02-13T12:12:47,2022-02-13T18:02:08,72,67,0.9305555555555556,1.0,2.0,False,0.6666666666666666,0.8181818181818182
2022-02-14,2022-02-14T12:02:21,2022-02-14T18:02:15,73,36,0.4931506849315068,0.0,17.0,False,0.6666666666666666,0.8181818181818182
2022-02-15,2022-02-15T12:02:18,2022-02-15T18:02:22,75,58,0.7733333333333333,1.0,16.0,False,1.0,0.8181818181818182
2022-02-16,2022-02-16T12:04:03,2022-02-16T18:02:12,75,46,0.6133333333333333,1.0,16.0,True,0.6666666666666666,0.8181818181818182
2022-02-17,2022-02-17T12:02:09,2022-02-17T18:08:52,77,76,0.987012987012987,2.0,16.0,True,0.6666666666666666,0.8181818181818182
2022-02-18,2022-02-18T12:03:49,2022-02-18T18:04:25,79,21,0.26582278481012656,0.0,4.0,False,1.0,1.0
2022-02-19,2022-02-19T12:00:00,2022-02-19T18:00:00,79,72,0.9113924050632911,1.0,5.0,True,0.6666666666666666,0.8181818181818182
2022-02-20,2022-02-20T12:00:00,2022-02-20T18:00:00,79,16,0.20253164556962025,0.0,4.0,False,1.0,0.8181818181818182
2022-02-21,2022-02-21T12:00:00,2022-02-21T18:00:00,77,24,0.3116883116883117,0.0,17.0,False,1.0,0.8181818181818182
2022-02-22,2022-02-22T12:00:00,2022-02-22T18:00:00,73,41,0.5616438356164384,1.0,16.0,False,1.0,1.0
2022-02-23,2022-02-23T12:00:00,2022-02-23T18:00:00,82,34,0.4146341463414634,0.0,4.0,False,1.0,1.0
2022-02-24,2022-02-24T12:00:00,2022-02-24T18:04:21,81,59,0.7283950617283951,1.0,17.0,False,1.0,0.8181818181818182
2022-02-25,2022-02-25T12:03:57,2022-02-25T18:03:17,83,39,0.46987951807228917,0.0,2.0,False,1.0,0.8181818181818182
2022-02-26,2022-02-26T12:01:50,2022-02-26T18:01:45,85,58,0.6823529411764706,1.0,2.0,False,1.0,1.0
2022-02-27,2022-02-27T12:01:45,2022-02-27T18:47:54,87,43,0.4942528735632184,0.0,3.0,False,1.0,1.0
2022-02-28,2022-02-28T12:01:51,2022-02-28T18:01:44,87,41,0.47126436781609193,0.0,25.0,False,1.0,0.6666666666666666
2022-03-01,2022-03-01T12:01:30,2022-03-01T18:01:43,89,50,0.5617977528089888,1.0,19.0,False,1.0,1.0
2022-03-02,2022-03-02T12:01:40,2022-03-02T18:01:41,87,46,0.5287356321839081,1.0,23.0,False,1.0,1.0
2022-03-03,2022-03-03T12:01:31,2022-03-03T18:07:18,90,43,0.4777777777777778,0.0,24.0,False,1.0,1.0
2022-03-04,2022-03-04T12:01:39,2022-03-04T18:01:41,88,63,0.7159090909090909,1.0,23.0,False,1.0,1.0
2022-03-05,2022-03-05T12:01:52,2022-03-05T18:01:56,90,2,0.022222222222222223,0.0,1.0,False,1.0,1.0
2022-03-06,2022-03-06T12:01:35,2022-03-06T18:01:33,91,4,0.04395604395604396,0.0,1.0,False,1.0,1.0
2022-03-07,2022-03-07T12:02:07,2022-03-07T18:01:43,93,47,0.5053763440860215,1.0,26.0,False,1.0,1.0
2022-03-08,2022-03-08T12:01:55,2022-03-08T18:01:44,90,48,0.5333333333333333,1.0,18.0,False,1.0,0.8181818181818182
2022-03-09,2022-03-09T12:01:41,2022-03-09T18:02:01,89,38,0.42696629213483145,0.0,31.0,False,1.0,0.8181818181818182
