venduto_da,n_markets,n_rows,n_fba_rows,n_nonfba_rows,distinct_shippers,observed_both_fba_statuses
Albaeleshop,62,62,0,62,1,False
All In Commerce,58,58,0,58,1,False
Amco-Shop,62,62,62,0,1,False
B&Bit Informatica,51,51,0,51,1,False
BSSDNL®,3,3,0,3,1,False
Bacom,62,62,0,62,1,False
Bartolucci S.r.l.,61,61,0,61,1,False
Biffidì,14,14,0,14,1,False
BuysVip,62,62,0,62,1,False
Bwilld,58,58,58,0,1,False
CAREBSRL-IT,62,62,0,62,1,False
CRE Elettrodomestici Belluno,47,72,0,72,1,False
Chip Componentes,31,31,0,31,1,False
Computer Milano,62,62,0,62,1,False
Coolibry,40,40,0,40,1,False
CrineTech,36,36,0,36,1,False
Cyuet,62,62,62,0,1,False
Dagimarket,62,62,0,62,1,False
Dear Mi,19,19,19,0,1,False
EURO DK,62,62,62,0,1,False
Elettronart,58,58,0,58,1,False
Erregame S.p.a.,62,62,0,62,1,False
Excellent Mi Store,62,62,62,0,1,False
FORTUNE TRADE,10,10,10,0,1,False
Flash Shopping,43,43,0,43,1,False
Fonex Italia,62,62,0,62,1,False
GIOIAPURA,62,62,0,62,1,False
GROOVE TO S.R.L.,2,2,0,2,1,False
GSERVICESHOP,18,18,0,18,1,False
Galvan Center S.r.l.,46,46,0,46,1,False
Global Mi,1,1,1,0,1,False
GoPrice,62,62,0,62,1,False
Good Brands Store,62,62,0,62,1,False
Gory's Web Shop,62,62,0,62,1,False
Graphodruck,1,1,0,1,1,False
Hamradioshop SRL,62,62,0,62,1,False
Happy Home Srl,62,132,0,132,1,False
HourShoppinG,3,3,0,3,1,False
HousePc,62,62,0,62,1,False
ILS I LOVE SHOPPING,1,1,0,1,1,False
INSTYLEANDJOY,62,69,0,69,1,False
Juke Box,62,62,0,62,1,False
K.X.Store,4,4,4,0,1,False
KSL Global Store,62,62,62,0,1,False
Kobert Goods inkl Widerrufsbelehrung-AGB unter Verkaeufer-Hilfe,3,3,0,3,1,False
LBY,42,42,0,42,1,False
LICK,16,16,0,16,1,False
LUX PHONIA,9,9,0,9,1,False
La Leoniana,40,40,0,40,1,False
Leelbox-EU,23,23,23,0,1,False
Lucemania,61,77,0,77,1,False
Luemm srl,62,62,0,62,1,False
MARRA HI TECH,60,60,0,60,1,False
MR CARTRIDGE,62,62,0,62,1,False
MacchioniSHOP,31,31,0,31,1,False
Mi Smart Living,2,2,2,0,1,False
Mi Store EU,1,1,1,0,1,False
Mi World,2,2,2,0,1,False
Miranda Electronics,18,18,18,0,1,False
Mobile World S.A.,48,48,48,0,1,False
Monclick,54,54,0,54,1,False
Musicatelli Musicstore,30,30,0,30,1,False
My Beststore,62,62,0,62,1,False
NNN_NowNextNew,62,62,0,62,1,False
New World EU Store,62,62,62,0,1,False
Niumi Technology,12,12,12,0,1,False
Novasystem-IT,38,38,0,38,1,False
OVOLT,49,49,0,49,1,False
Odiporo de,62,62,62,0,1,False
Online Trading Store,28,28,0,28,1,False
Onlinestore Italia,62,62,0,62,1,False
PARTY-GAMES,62,98,0,98,1,False
PRIME ITALIA,11,11,0,11,1,False
Parsekstore,17,17,0,17,1,False
ProComponentes,60,60,0,60,1,False
PureGaming,47,47,0,47,1,False
R-Shop360,62,62,0,62,1,False
Red Cat GmbH,31,31,0,31,1,False
Red Tech GmbH,62,62,0,62,1,False
RikillaStore,27,27,0,27,1,False
S.E.M. SRL,62,62,0,62,1,False
SKY LINE E-COMM,62,124,62,62,2,True
SLD Market Italia,62,62,0,62,1,False
SLG Store,34,34,0,34,1,False
Scontolo,62,122,0,122,1,False
SmartFunk,62,62,0,62,1,False
Solution 4YOU,27,176,0,176,1,False
Supermedia SpA,62,62,0,62,1,False
TEC -,62,62,0,62,1,False
TPC Mobile,62,124,62,62,2,True
TechLead IT,29,29,29,0,1,False
Tek4life,62,62,0,62,1,False
Telcominstrument Mi Life,62,62,0,62,1,False
Tienda Siglo XXI,62,62,0,62,1,False
To B To C,61,123,0,123,1,False
Topocentras EU,55,58,0,58,1,False
TradeINN,62,62,0,62,1,False
Triplenetpricing,2,2,0,2,1,False
UNIWO-EU,5,5,5,0,1,False
UnTech,62,62,0,62,1,False
Versão Portátil Não enviamos para ilhas Portuguesa,62,62,0,62,1,False
Vertex S.r.l.,22,22,0,22,1,False
Vipdomo,27,51,0,51,1,False
Vivarek,11,11,0,11,1,False
Welcome to Mall,58,58,58,0,1,False
XBUYSHOP,62,62,0,62,1,False
Xiaomi Home,62,62,62,0,1,False
You Get - Innovation & Technology,62,62,0,62,1,False
Yulus,18,18,0,18,1,False
ZaarioGmbH,28,28,28,0,1,False
cadeau-son,62,62,0,62,1,False
dailybefit,1,1,0,1,1,False
i-Storeparts srl,62,62,0,62,1,False
kemite electronics store,48,48,0,48,1,False
mottrade,4,4,4,0,1,False
oltrade,54,54,54,0,1,False
"smakdistribuzioni,com",4,8,0,8,1,False
sotelit,30,30,0,30,1,False
ytnet,62,62,0,62,1,False
