model_role,term,estimate,se,pvalue,condition_number,ill_conditioned_flag,interpretation,t_stat,ci_low,ci_high,absorbed_or_missing,nobs,n_regressors_after_absorption
headline_above_only_reference,fba_x_dropouts_above,0.003606373573672765,0.0016776649977762197,0.035625723445111834,,False,"Original above-disappearance interaction. It is retained as decomposition evidence, not as the primary dynamic estimand.",,,,,,
below_only_decomposition_reference,fba_x_dropouts_below,0.0033849771158157233,0.0011229405794632873,0.003769740657369569,,False,Below-disappearance response. Similarity to the above coefficient supports a broad turnover-period rank-movement interpretation rather than a pure above-turnover mechanism.,,,,,,
total_seller_turnover_model,fba_x_dropouts_total_focal,0.0014549673114384602,0.0006441038285834731,0.027536269647493006,,False,Tests whether FBA sellers gain during seller-turnover transitions regardless of where disappearing sellers were ranked.,2.258901821214532,0.00016656782597189272,0.0027433667969050278,False,4958.0,
directional_churn_balance_model,fba_x_dropout_direction_balance,-0.0010034282418340318,0.001998667559077824,0.6174708330467902,,False,Tests whether FBA gains are stronger when disappearing sellers are concentrated above rather than below the focal seller.,-0.5020485959641077,-0.0050013586071879605,0.002994502123519897,False,4958.0,
total_plus_direction_model_total_term,fba_x_dropouts_total_focal,0.002467258032983047,0.0007648028355501124,0.002034209310939117,773.1943744038265,False,General turnover term after also allowing directional balance.,3.226005341897538,0.0009374245867618267,0.003997091479204267,False,4958.0,11.0
total_plus_direction_model_direction_term,fba_x_dropout_direction_balance,-0.00011679092819276813,0.001980407892281419,0.9531694582760384,773.1943744038265,False,Directional above-versus-below term after accounting for total turnover.,-0.05897316843058307,-0.004078196521823141,0.0038446146654376053,False,4958.0,11.0
turnover_rate_plus_direction_model_rate_term,fba_x_turnover_rate_transition,0.2104987876474772,0.060897933003172255,0.0010112390141892025,902.4556061714053,False,Scale robustness: FBA premium per unit of transition turnover rate.,3.4565834547539085,0.08868478489606142,0.332312790398893,False,4958.0,11.0
total_plus_above_share_model_direction_term,fba_x_above_share_of_dropouts,0.0028078375210846608,0.0033826768981745194,0.4097933319114604,773.0495487556509,False,Scale-free above-share directional check after accounting for total turnover.,0.8300637647656878,-0.003958523710911783,0.009574198753081105,False,4958.0,11.0
D4_transition_rank_tier_fe_stress_test,fba_x_dropouts_total_focal,-7.458859171159931e-05,0.0006987157998307936,0.9153426786840675,6797106.955950707,False,Severe support-sensitive stress test: total-turnover FBA premium after absorbing transition-by-lag-rank-tier fixed effects. A null result means the baseline premium is not confirmed within coarse starting-rank cells.,-0.10675097332801442,-0.0014722282843200873,0.001323051100896889,False,4958.0,12.0
partial_identification_excess_above_minus_below,lambda_above_minus_lambda_below,0.00022139645785704178,0.0020188004829028616,0.9130391891089022,,False,Partial-identification-style local bound. The local-above component is the above response minus the mirrored below response; it is not the main turnover-premium estimate.,,-0.003735452488632567,0.0041782454043466505,,,
