test_family,model_role,term,estimate,se,pvalue,condition_number,finite_design_warning,nobs,interpretation
clean-sample restriction,above_only_or_no_below_turnover,fba_x_dropouts_total_focal,0.006137922668402446,0.00264742391618793,0.024034610609135587,,False,3361.0,"Rows where no disappearing lag sellers are below the focal seller. This is the cleanest above-side sample, including no-turnover rows for within-transition comparison."
clean-sample restriction,below_only_or_no_above_turnover,fba_x_dropouts_total_focal,0.003118594136926346,0.0010713291676357616,0.005133405638518385,,False,3219.0,"Rows where no disappearing lag sellers are above the focal seller. This is a symmetric below-side falsification sample, including no-turnover rows."
clean-sample restriction,single_sided_turnover_or_no_turnover,fba_x_dropouts_total_focal,0.0020546367440922816,0.0009441271618067586,0.033485920738213215,,False,4485.0,Rows with one-sided disappearance exposure or no turnover. This reduces direct above-below mixing.
clean-sample restriction,mixed_above_below_turnover_only,fba_x_dropouts_total_focal,-0.0015687511520037902,0.0012930604082626244,0.250459454800378,,False,473.0,Rows with both above and below disappearances. This isolates the highly mixed-churn part of the panel.
distance-banded exposure,distance_banded_total_turnover_within_1,fba_x_dropouts_total_within_1,0.001179434372878247,0.003347931562088501,0.7258571086968622,772.8287755169384,False,4958.0,"FBA-by-local-turnover premium using only disappearing sellers within K lag-rank positions of the focal seller, controlling for local directional balance."
distance-banded exposure,distance_banded_total_turnover_within_3,fba_x_dropouts_total_within_3,-0.00014518132092893518,0.0022822317483455327,0.94948924256066,773.032124208644,False,4958.0,"FBA-by-local-turnover premium using only disappearing sellers within K lag-rank positions of the focal seller, controlling for local directional balance."
distance-banded exposure,distance_banded_total_turnover_within_5,fba_x_dropouts_total_within_5,-0.0005852508951632836,0.0012956999369631902,0.6531230142825777,772.8974466989332,False,4958.0,"FBA-by-local-turnover premium using only disappearing sellers within K lag-rank positions of the focal seller, controlling for local directional balance."
distance-banded exposure,distance_banded_total_turnover_within_10,fba_x_dropouts_total_within_10,-0.0017159360184989423,0.00022897959530390264,3.587452557241022e-10,772.9037595313766,False,4958.0,"FBA-by-local-turnover premium using only disappearing sellers within K lag-rank positions of the focal seller, controlling for local directional balance."
above-minus-below bound,joint_covariance_excess,lambda_above_minus_lambda_below,,,,7705376778669.632,True,,"Joint above-minus-below excess is not interpreted because the residualized joint design is ill-conditioned, condition number=7.71e+12. Use the separate-model approximation for the reported local-mechanism bound."
above-minus-below bound,separate_model_excess_approximation,lambda_above_minus_lambda_below,0.00022139645785704178,0.0020188004829028616,0.9130391891089022,,False,,Transparent approximation using separate above-only and below-only rows. It is reported only to show the magnitude of the excess local-above component.
rank-tier FE stress,transition_by_rank_tier_fe_stress_test,fba_x_dropouts_total_focal,-7.458859171159931e-05,0.0006987157998307936,0.9153426786840675,6797106.955950707,True,4958.0,"Severe support-sensitive stress test. If this row is null or negative, the baseline FBA turnover premium is not confirmed within the same transition and starting-rank tier. If the condition number is high, the stress test is thinly identified."
starting-rank-position adjustment,baseline_total_turnover_premium,fba_x_dropouts_total_focal,0.002467258032983047,0.0007648028355501124,0.002034209310939117,773.1943744038265,False,4958.0,baseline dynamic estimator
starting-rank-position adjustment,rank_position_quartile_adjusted_premium,fba_x_dropouts_total_focal,0.0027099809272884486,0.0008686856167433602,0.0027821750222942754,792.4647083447751,False,4958.0,main starting-rank-position validation
starting-rank-position adjustment,rank_position_quadratic_adjusted_premium,fba_x_dropouts_total_focal,0.0022779602229394376,0.0006739026628144465,0.0012783022681199796,774.0809582868293,False,4958.0,main smooth starting-rank-position validation
starting-rank-position adjustment,transition_by_rank_tier_fe_stress_test,fba_x_dropouts_total_focal,-7.458859171159931e-05,0.0006987157998307936,0.9153426786840675,6797106.955950707,True,4958.0,severe support-sensitive stress test
