dynamic_design,sample,outcome,outcome_interpretation,specification,estimator,inference,term_name,estimate,se,test_statistic,pvalue,ci_low,ci_high,stars,dof_reference,nobs,r_squared_within_absorbed_fe,seller_clusters,transition_clusters,fixed_effects,exposure_variable,mean_market_size_reference,median_market_size_reference,implied_rank_position_shift_mean_market,implied_rank_position_shift_median_market,interpretation_note,price_measure,star_form,positive_review_form,price_control_definition,star_control_definition,positive_review_control_definition,role,lag_rank_tier,tier_rule,tier_observations,tier_sellers,tier_transitions,tier_fba_observations,tier_nonfba_observations,tier_fba_share,tier_thin_fba_support_flag,tier_exposed_observations,tier_share_exposed,tier_mean_lag_rank_pct,rank_tier_status,row_numerical_pathology_flag,row_interpretation_status
seller_fe_transition_fe_reference_above_turnover_exposure,continuing_seller_transitions,rank_pct_improvement,positive values mean upward movement in rank_pct,split_price_linear_stars,within_ols_absorbing_seller_and_transition_fe,two_way_seller_transition_clustered,fba_x_dropouts_above,-0.0012606015326567675,0.001603087603108832,-0.7863584811036597,0.4369495178301501,-0.004515042385407846,0.0019938393200943103,,35,1258,0.09368641508549658,36,61,seller_id and transition_id,dropouts_above,82.37096774193549,80.0,-0.10257636664924827,-0.09958752107988464,"Effect of one additional dropout above for FBA sellers relative to non-FBA sellers, after seller and transition fixed effects.",split_price,linear_stars,positive_reviews_included,product price plus shipping price separately,star rating entered linearly,positive-review percentage included,headline_price_decomposition,top_25pct,lag_rank_pct <= 0.25,1258,36,61,722,536,0.5739268680445151,False,244,0.19395866454689983,0.12369720401535636,estimated,False,interpreted
seller_fe_transition_fe_reference_above_turnover_exposure,continuing_seller_transitions,rank_pct_improvement,positive values mean upward movement in rank_pct,split_price_linear_stars_no_positive_reviews,within_ols_absorbing_seller_and_transition_fe,two_way_seller_transition_clustered,fba_x_dropouts_above,-0.0012982829576945543,0.001575522102076235,-0.8240334781617262,0.4155008331374339,-0.004496762868253164,0.0019001969528640557,,35,1258,0.09241315834425101,36,61,seller_id and transition_id,dropouts_above,82.37096774193549,80.0,-0.10564254067046817,-0.10256435365786978,"Effect of one additional dropout above for FBA sellers relative to non-FBA sellers, after seller and transition fixed effects.",split_price,linear_stars,positive_reviews_dropped,product price plus shipping price separately,star rating entered linearly,positive-review percentage excluded to test sensitivity to the highly collinear reputation proxy,positive_review_exclusion_sensitivity,top_25pct,lag_rank_pct <= 0.25,1258,36,61,722,536,0.5739268680445151,False,244,0.19395866454689983,0.12369720401535636,estimated,False,interpreted
seller_fe_transition_fe_reference_above_turnover_exposure,continuing_seller_transitions,rank_pct_improvement,positive values mean upward movement in rank_pct,split_price_categorical_stars,within_ols_absorbing_seller_and_transition_fe,two_way_seller_transition_clustered,fba_x_dropouts_above,-0.0012565146474575917,0.0015948476485165314,-0.7878587328553642,0.43608287969178505,-0.004494227503062418,0.0019811982081472342,,35,1258,0.09389774949748775,36,61,seller_id and transition_id,dropouts_above,82.37096774193549,80.0,-0.10224381284554114,-0.09926465714914974,"Effect of one additional dropout above for FBA sellers relative to non-FBA sellers, after seller and transition fixed effects.",split_price,categorical_stars,positive_reviews_included,product price plus shipping price separately,"star rating entered as category indicators, 4.5-star reference",positive-review percentage included,categorical_star_sensitivity,top_25pct,lag_rank_pct <= 0.25,1258,36,61,722,536,0.5739268680445151,False,244,0.19395866454689983,0.12369720401535636,estimated,False,interpreted
seller_fe_transition_fe_reference_above_turnover_exposure,continuing_seller_transitions,rank_pct_improvement,positive values mean upward movement in rank_pct,split_price_categorical_stars_no_positive_reviews,within_ols_absorbing_seller_and_transition_fe,two_way_seller_transition_clustered,fba_x_dropouts_above,-0.0012355993371096557,0.001610199749755048,-0.7673577997373441,0.4480147273048316,-0.004504478615154096,0.0020332799409347848,,35,1258,0.09346646832461769,36,61,seller_id and transition_id,dropouts_above,82.37096774193549,80.0,-0.10054191380190666,-0.09761234763166281,"Effect of one additional dropout above for FBA sellers relative to non-FBA sellers, after seller and transition fixed effects.",split_price,categorical_stars,positive_reviews_dropped,product price plus shipping price separately,"star rating entered as category indicators, 4.5-star reference",positive-review percentage excluded to test sensitivity to the highly collinear reputation proxy,positive_review_exclusion_sensitivity,top_25pct,lag_rank_pct <= 0.25,1258,36,61,722,536,0.5739268680445151,False,244,0.19395866454689983,0.12369720401535636,estimated,False,interpreted
seller_fe_transition_fe_reference_above_turnover_exposure,continuing_seller_transitions,rank_pct_improvement,positive values mean upward movement in rank_pct,total_price_linear_stars,within_ols_absorbing_seller_and_transition_fe,two_way_seller_transition_clustered,fba_x_dropouts_above,-0.0014692737720669812,0.0016541917493555528,-0.8882124896580987,0.38049014101016576,-0.004827461557279993,0.00188891401314603,,35,1258,0.0886800474233822,36,61,seller_id and transition_id,dropouts_above,82.37096774193549,80.0,-0.1195562287109342,-0.11607262799329152,"Effect of one additional dropout above for FBA sellers relative to non-FBA sellers, after seller and transition fixed effects.",total_price,linear_stars,positive_reviews_included,total reconstructed buyer-facing price,star rating entered linearly,positive-review percentage included,parallel_total_price_sensitivity,top_25pct,lag_rank_pct <= 0.25,1258,36,61,722,536,0.5739268680445151,False,244,0.19395866454689983,0.12369720401535636,estimated,False,interpreted
seller_fe_transition_fe_reference_above_turnover_exposure,continuing_seller_transitions,rank_pct_improvement,positive values mean upward movement in rank_pct,total_price_linear_stars_no_positive_reviews,within_ols_absorbing_seller_and_transition_fe,two_way_seller_transition_clustered,fba_x_dropouts_above,-0.0015032924300502706,0.0016294507093200473,-0.9225761917508869,0.3625445884395475,-0.004811253233734043,0.0018046683736335017,,35,1258,0.08750984570644837,36,61,seller_id and transition_id,dropouts_above,82.37096774193549,80.0,-0.12232435983231638,-0.11876010197397138,"Effect of one additional dropout above for FBA sellers relative to non-FBA sellers, after seller and transition fixed effects.",total_price,linear_stars,positive_reviews_dropped,total reconstructed buyer-facing price,star rating entered linearly,positive-review percentage excluded to test sensitivity to the highly collinear reputation proxy,positive_review_exclusion_sensitivity,top_25pct,lag_rank_pct <= 0.25,1258,36,61,722,536,0.5739268680445151,False,244,0.19395866454689983,0.12369720401535636,estimated,False,interpreted
seller_fe_transition_fe_reference_above_turnover_exposure,continuing_seller_transitions,rank_pct_improvement,positive values mean upward movement in rank_pct,total_price_categorical_stars,within_ols_absorbing_seller_and_transition_fe,two_way_seller_transition_clustered,fba_x_dropouts_above,-0.001470141942736222,0.0016379268240948135,-0.8975626512183679,0.37555171588962377,-0.004795310174225007,0.001855026288752563,,35,1258,0.08907344939646544,36,61,seller_id and transition_id,dropouts_above,82.37096774193549,80.0,-0.1196268725984555,-0.11614121347616155,"Effect of one additional dropout above for FBA sellers relative to non-FBA sellers, after seller and transition fixed effects.",total_price,categorical_stars,positive_reviews_included,total reconstructed buyer-facing price,"star rating entered as category indicators, 4.5-star reference",positive-review percentage included,parallel_total_price_sensitivity,top_25pct,lag_rank_pct <= 0.25,1258,36,61,722,536,0.5739268680445151,False,244,0.19395866454689983,0.12369720401535636,estimated,False,interpreted
seller_fe_transition_fe_reference_above_turnover_exposure,continuing_seller_transitions,rank_pct_improvement,positive values mean upward movement in rank_pct,total_price_categorical_stars_no_positive_reviews,within_ols_absorbing_seller_and_transition_fe,two_way_seller_transition_clustered,fba_x_dropouts_above,-0.001450145701400275,0.0016556943687406332,-0.8758534961396867,0.3870812821771308,-0.00481138396614008,0.0019110925633395305,,35,1258,0.08835167790650988,36,61,seller_id and transition_id,dropouts_above,82.37096774193549,80.0,-0.11799975908974819,-0.11456151041062172,"Effect of one additional dropout above for FBA sellers relative to non-FBA sellers, after seller and transition fixed effects.",total_price,categorical_stars,positive_reviews_dropped,total reconstructed buyer-facing price,"star rating entered as category indicators, 4.5-star reference",positive-review percentage excluded to test sensitivity to the highly collinear reputation proxy,positive_review_exclusion_sensitivity,top_25pct,lag_rank_pct <= 0.25,1258,36,61,722,536,0.5739268680445151,False,244,0.19395866454689983,0.12369720401535636,estimated,False,interpreted
seller_fe_transition_fe_reference_above_turnover_exposure,continuing_seller_transitions,rank_pct_improvement,positive values mean upward movement in rank_pct,split_price_linear_stars,within_ols_absorbing_seller_and_transition_fe,two_way_seller_transition_clustered,fba_x_dropouts_above,0.001455676145143517,0.0030780138980300823,0.47292708654601734,0.6379811572073044,-0.00470126835121568,0.0076126206415027126,,60,2456,0.28149489724734456,67,61,seller_id and transition_id,dropouts_above,82.37096774193549,80.0,0.11844977664917812,0.11499841546633784,"Effect of one additional dropout above for FBA sellers relative to non-FBA sellers, after seller and transition fixed effects.",split_price,linear_stars,positive_reviews_included,product price plus shipping price separately,star rating entered linearly,positive-review percentage included,headline_price_decomposition,middle_50pct,0.25 < lag_rank_pct <= 0.75,2456,67,61,228,2228,0.09283387622149837,False,865,0.3521986970684039,0.5011272249554013,estimated,False,interpreted
seller_fe_transition_fe_reference_above_turnover_exposure,continuing_seller_transitions,rank_pct_improvement,positive values mean upward movement in rank_pct,split_price_linear_stars_no_positive_reviews,within_ols_absorbing_seller_and_transition_fe,two_way_seller_transition_clustered,fba_x_dropouts_above,0.0015677014604629324,0.0030757373753421114,0.5096993888460839,0.6121318271904714,-0.004584689312521749,0.007720092233447615,,60,2456,0.27988589397571095,67,61,seller_id and transition_id,dropouts_above,82.37096774193549,80.0,0.12756538496831443,0.12384841537657167,"Effect of one additional dropout above for FBA sellers relative to non-FBA sellers, after seller and transition fixed effects.",split_price,linear_stars,positive_reviews_dropped,product price plus shipping price separately,star rating entered linearly,positive-review percentage excluded to test sensitivity to the highly collinear reputation proxy,positive_review_exclusion_sensitivity,middle_50pct,0.25 < lag_rank_pct <= 0.75,2456,67,61,228,2228,0.09283387622149837,False,865,0.3521986970684039,0.5011272249554013,estimated,False,interpreted
