filename,main_or_appendix,interpretation_role,rows
attenuation_decomposition_rankpct.csv,main,core_or_required_validity_summary,3
attrition_table.csv,main,core_or_required_validity_summary,4
audit_consistency_checks.csv,audit_only,manifest_or_reproducibility_audit,34
balance_hypothesis_tests_by_fba.csv,appendix,overlap_support_detail,10
balance_table_by_fba.csv,appendix,overlap_support_detail,10
binary_top10_fitted_probability_audit_rankpct.csv,appendix,diagnostic_detail_or_redundant_summary,1
binary_top10_prominence_decision_rankpct.csv,main,core_or_required_validity_summary,1
binary_top10_prominence_diagnostics_rankpct.csv,main,core_or_required_validity_summary,5
binary_top10_prominence_inference_rankpct.csv,main,core_or_required_validity_summary,4
binary_top10_prominence_influence_summary_rankpct.csv,appendix,top10_auxiliary_detail,2
binary_top10_prominence_leave_one_rankpct.csv,appendix,top10_auxiliary_detail,158
binary_top10_prominence_models_rankpct.csv,appendix,top10_auxiliary_detail,3
binary_top10_prominence_permutation_rankpct.csv,appendix,top10_auxiliary_detail,1
binary_top10_prominence_placebos_rankpct.csv,appendix,top10_auxiliary_detail,2
binary_top10_prominence_stockout_consistency_rankpct.csv,appendix,top10_auxiliary_detail,2
binary_top10_prominence_threshold_family_rankpct.csv,appendix,top10_auxiliary_detail,5
bounded_outcome_diagnostics_rankpct.csv,main,core_or_required_validity_summary,1
bounded_outcome_method_note_rankpct.csv,appendix,supporting_output,1
chen_tsai_benchmark_mapping.csv,appendix,robustness_or_context_detail,12
cluster_sensitivity_rankpct.csv,main,core_or_required_validity_summary,3
common_support_balance_total_price_rankpct.csv,appendix,overlap_support_detail,6
common_support_nonfba_survivor_profile_rankpct.csv,appendix,overlap_support_detail,1
common_support_residual_gap_rankpct.csv,main,core_or_required_validity_summary,2
cr2_cluster_correction_rankpct.csv,main,core_or_required_validity_summary,1
delivery_support_rankpct.csv,appendix,robustness_or_context_detail,5
delivery_tail_sensitivity_rankpct.csv,appendix,robustness_or_context_detail,3
dynamic_above_below_decomposition_main_rankpct.csv,main,core_or_required_validity_summary,2
