leave_one_dimension,dropped_cluster,dropped_observations,dropped_fba_observations,dropped_nonfba_observations,retained_observations,baseline_coef,deleted_cluster_coef,absolute_change,sign_flips_relative_to_baseline,method
market,2022-03-04T18:01:41,90,18,72,5017,-0.05103815170625814,-0.050386993146186776,0.0006511585600713632,False,exact deleted-cluster OLS using within-market transformation recomputed after deletion
market,2022-03-05T12:01:52,90,18,72,5017,-0.05103815170625814,-0.05053481426698081,0.0005033374392773293,False,exact deleted-cluster OLS using within-market transformation recomputed after deletion
market,2022-03-05T18:01:56,90,18,72,5017,-0.05103815170625814,-0.05055466835346184,0.00048348335279629895,False,exact deleted-cluster OLS using within-market transformation recomputed after deletion
market,2022-03-06T12:01:35,91,19,72,5016,-0.05103815170625814,-0.0505689373917762,0.00046921431448193607,False,exact deleted-cluster OLS using within-market transformation recomputed after deletion
market,2022-03-06T18:01:33,91,19,72,5016,-0.05103815170625814,-0.05057012623819057,0.00046802546806756773,False,exact deleted-cluster OLS using within-market transformation recomputed after deletion
market,2022-03-08T12:01:55,90,17,73,5017,-0.05103815170625814,-0.05061363061823454,0.00042452108802359945,False,exact deleted-cluster OLS using within-market transformation recomputed after deletion
market,2022-03-04T12:01:39,88,18,70,5019,-0.05103815170625814,-0.05062279301310918,0.00041535869314895946,False,exact deleted-cluster OLS using within-market transformation recomputed after deletion
market,2022-02-13T12:12:47,72,14,58,5035,-0.05103815170625814,-0.05141749862527445,0.0003793469190163101,False,exact deleted-cluster OLS using within-market transformation recomputed after deletion
market,2022-02-17T18:08:52,80,18,62,5027,-0.05103815170625814,-0.05140334867947327,0.00036519697321513167,False,exact deleted-cluster OLS using within-market transformation recomputed after deletion
market,2022-02-13T18:02:08,73,15,58,5034,-0.05103815170625814,-0.05140007577545069,0.00036192406919255404,False,exact deleted-cluster OLS using within-market transformation recomputed after deletion
market,2022-02-09T12:08:19,78,17,61,5029,-0.05103815170625814,-0.051397905335981764,0.0003597536297236248,False,exact deleted-cluster OLS using within-market transformation recomputed after deletion
market,2022-03-03T12:01:31,90,18,72,5017,-0.05103815170625814,-0.05071131810253199,0.000326833603726151,False,exact deleted-cluster OLS using within-market transformation recomputed after deletion
market,2022-02-23T18:00:00,83,14,69,5024,-0.05103815170625814,-0.051356427593741705,0.0003182758874835656,False,exact deleted-cluster OLS using within-market transformation recomputed after deletion
