table,rows,estimate_nonfinite_count,estimate_min,estimate_max,se_nonfinite_count,se_min,se_max,pvalue_nonfinite_count,pvalue_min,pvalue_max,condition_number_nonfinite_count,condition_number_min,condition_number_max,interpretation_status,valid_replication_share_nonfinite_count,valid_replication_share_min,valid_replication_share_max,invalid_replication_share_nonfinite_count,invalid_replication_share_min,invalid_replication_share_max
dropouts_below_decomposition_table,3,0.0,-54478449637038.07,0.003606373573672765,0.0,0.0011229405794632873,3.3656135617913265e+21,0.0,0.003769740657369569,0.9999999871385163,2.0,7705376778669.632,7705376778669.632,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,,,,,,
dynamic_churn_decomposition_table,10,0.0,-0.0010034282418340318,0.2104987876474772,0.0,0.0006441038285834731,0.060897933003172255,0.0,0.0010112390141892025,0.9531694582760384,5.0,773.0495487556509,6797106.955950707,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,,,,,,
dropout_composition_table,2,0.0,-0.0019308974949573386,0.0007634324459261345,0.0,0.0,22034.546314802712,1.0,0.9999999303717162,0.9999999303717162,,,,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,,,,,,
dynamic_vacancy_rank_tier_models_table,24,0.0,-0.0015032924300502706,0.001688946001044187,0.0,0.0,0.003127715926206186,1.0,0.12997474860225,0.6379811572073044,,,,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,,,,,,
wild_cluster_bootstrap_table,1,,,,,,,,,,,,,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,0.0,1.0,1.0,0.0,0.0,0.0
dynamic_wcb_table,1,0.0,0.002467258032983047,0.002467258032983047,0.0,0.0007648028355501124,0.0007648028355501124,0.0,0.008831794460056202,0.008831794460056202,,,,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,0.0,0.9963992798559712,0.9963992798559712,0.0,0.0036007201440288058,0.0036007201440288058
dynamic_clean_turnover_restriction_table,4,0.0,-0.0015687511520037902,0.006137922668402446,0.0,0.0009441271618067586,0.00264742391618793,0.0,0.005133405638518385,0.250459454800378,4.0,,,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,,,,,,
dynamic_distance_banded_turnover_table,8,0.0,-0.00561555749733482,0.001179434372878247,0.0,0.00022897959530390264,0.004019635082299661,0.0,3.587452557241022e-10,0.94948924256066,0.0,772.8287755169384,773.032124208644,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,,,,,,
dynamic_partial_identification_bounds_table,2,1.0,0.00022139645785704178,0.00022139645785704178,1.0,0.0020188004829028616,0.0020188004829028616,1.0,0.9130391891089022,0.9130391891089022,1.0,7705376778669.632,7705376778669.632,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,,,,,,
dynamic_rank_tier_stress_diagnostic_table,4,3.0,-7.458859171159931e-05,-7.458859171159931e-05,3.0,0.0006987157998307936,0.0006987157998307936,3.0,0.9153426786840675,0.9153426786840675,3.0,6797106.955950707,6797106.955950707,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,,,,,,
dynamic_starting_rank_adjustment_diagnostics_table,4,0.0,-7.458859171159931e-05,0.0027099809272884486,0.0,0.0006739026628144465,0.0008686856167433602,0.0,0.0012783022681199796,0.9153426786840675,0.0,773.1943744038265,6797106.955950707,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,,,,,,
dynamic_starting_rank_quartile_support_table,4,,,,,,,,,,,,,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,,,,,,
binary_top10_prominence_stockout_table,2,0.0,0.009755278983089827,0.036510274787815884,0.0,0.0,0.01943933054564088,1.0,0.06522032077249884,0.06522032077249884,0.0,773.1363574539757,773.1512467747547,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,,,,,,
binary_top10_fitted_probability_audit_table,1,,,,,,,,,,,,,review_interpreted_rows_only; degenerate appendix estimates are explicitly flagged and not used for the main claim,,,,,,
