model_label,price_measure,star_form,positive_review_form,comparison_population,rows,fba_rows,nonfba_rows,fba_share,mean_abs_smd,median_abs_smd,max_abs_smd,variables_abs_smd_above_0_10,variables_abs_smd_above_0_25,balance_note
split_price_linear_stars,split_price,linear_stars,positive_reviews_included,full_sample,5107,996,4111,0.1950264343058547,0.7777654676977025,0.8710258498982116,1.5525162229632423,7,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_linear_stars,split_price,linear_stars,positive_reviews_included,propensity_0_05_0_95,1833,796,1037,0.4342607746863066,0.4383065802976304,0.48097770133441453,0.6764451895300148,5,5,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_linear_stars,split_price,linear_stars,positive_reviews_included,propensity_0_10_0_90,1490,747,743,0.5013422818791946,0.32235556658777703,0.3354800323786501,0.5692977175341104,5,3,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_linear_stars,split_price,linear_stars,positive_reviews_included,propensity_common_support,1534,958,576,0.6245110821382008,0.2944117700443453,0.2917112573031964,0.663288841687976,4,3,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_linear_stars_no_positive_reviews,split_price,linear_stars,positive_reviews_dropped,full_sample,5107,996,4111,0.1950264343058547,0.7777654676977025,0.8710258498982116,1.5525162229632423,7,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_linear_stars_no_positive_reviews,split_price,linear_stars,positive_reviews_dropped,propensity_0_05_0_95,1979,824,1155,0.4163719050025265,0.4709242626416794,0.578726685018812,0.6164502956839568,5,5,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_linear_stars_no_positive_reviews,split_price,linear_stars,positive_reviews_dropped,propensity_0_10_0_90,1616,692,924,0.4282178217821782,0.492701597481853,0.5708944231989705,0.712209861382591,5,5,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_linear_stars_no_positive_reviews,split_price,linear_stars,positive_reviews_dropped,propensity_common_support,2208,948,1260,0.42934782608695654,0.5376195490076956,0.6588569449734358,0.6851974161110121,5,5,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_categorical_stars,split_price,categorical_stars,positive_reviews_included,full_sample,5107,996,4111,0.1950264343058547,0.7777654676977025,0.8710258498982116,1.5525162229632423,7,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_categorical_stars,split_price,categorical_stars,positive_reviews_included,propensity_0_05_0_95,1828,800,1028,0.437636761487965,0.4732033459705414,0.48969230149317877,0.749802417081621,6,5,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_categorical_stars,split_price,categorical_stars,positive_reviews_included,propensity_0_10_0_90,1503,750,753,0.499001996007984,0.3356670090944512,0.3363329939965986,0.6159655364142474,5,3,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_categorical_stars,split_price,categorical_stars,positive_reviews_included,propensity_common_support,1547,968,579,0.6257272139625081,0.326173135050668,0.33288574552322325,0.6520320305811262,5,3,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_categorical_stars_no_positive_reviews,split_price,categorical_stars,positive_reviews_dropped,full_sample,5107,996,4111,0.1950264343058547,0.7777654676977025,0.8710258498982116,1.5525162229632423,7,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_categorical_stars_no_positive_reviews,split_price,categorical_stars,positive_reviews_dropped,propensity_0_05_0_95,1877,824,1053,0.43899840170484816,0.48555395270998103,0.541672717859899,0.7215593450576161,6,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
split_price_categorical_stars_no_positive_reviews,split_price,categorical_stars,positive_reviews_dropped,propensity_0_10_0_90,1593,726,867,0.455743879472693,0.40618111311274613,0.32941521686329067,0.6505981116017288,6,5,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
