sample,outcome,specification,estimator,inference,term_name,coef_fba,se_fba,test_statistic,pvalue_fba,ci_low,ci_high,stars,dof_reference,nobs,r_squared,seller_clusters,market_clusters,model_label,price_measure,star_form,positive_review_form,comparison_population,rows,markets,fba_rows,nonfba_rows,fba_share
full_sample,rank_pct,split_price_linear_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.05103815170628886,0.015968230038121634,-3.196230990187598,0.0022065363914001157,-0.08296860110114151,-0.0191077023114362,***,61,5107,0.9593810046078374,119,62,split_price_linear_stars,split_price,linear_stars,positive_reviews_included,full_sample,5107,62,996,4111,0.1950264343058547
propensity_common_support,rank_pct,split_price_linear_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,0.00041497628295228753,0.00495991393661748,0.083666024905926,0.9336930604997431,-0.009574803185346316,0.010404755751250891,,45,1534,0.9861561294064437,46,62,split_price_linear_stars,split_price,linear_stars,positive_reviews_included,propensity_common_support,1534,62,958,576,0.6245110821382008
propensity_0_05_0_95,rank_pct,split_price_linear_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.004874704830100882,0.0046788006874430585,-1.0418705894404927,0.30211388213489454,-0.014255135421915512,0.004505725761713749,,54,1833,0.9863582905049407,55,62,split_price_linear_stars,split_price,linear_stars,positive_reviews_included,propensity_0_05_0_95,1833,62,796,1037,0.4342607746863066
propensity_0_10_0_90,rank_pct,split_price_linear_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0038793555762306224,0.004728810812216759,-0.8203659926949094,0.41633201473407655,-0.013403669458492782,0.005644958306031538,,45,1490,0.9883954198784201,46,62,split_price_linear_stars,split_price,linear_stars,positive_reviews_included,propensity_0_10_0_90,1490,62,747,743,0.5013422818791946
full_sample,rank_pct,split_price_linear_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.049065774980625435,0.01441949417701167,-3.402738985036571,0.001183250655362178,-0.07789933562067516,-0.020232214340575705,***,61,5107,0.9592920138295683,119,62,split_price_linear_stars_no_positive_reviews,split_price,linear_stars,positive_reviews_dropped,full_sample,5107,62,996,4111,0.1950264343058547
propensity_common_support,rank_pct,split_price_linear_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,0.0013656905111910098,0.005610533795671397,0.24341543263577856,0.8085424740704263,-0.009865013082992157,0.012596394105374178,,58,2208,0.9867037237950208,59,62,split_price_linear_stars_no_positive_reviews,split_price,linear_stars,positive_reviews_dropped,propensity_common_support,2208,62,948,1260,0.42934782608695654
propensity_0_05_0_95,rank_pct,split_price_linear_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0019434584649544568,0.004845386540617335,-0.40109461828546855,0.6899332285145343,-0.01165787358350333,0.0077709566535944154,,54,1979,0.9872449781719168,55,62,split_price_linear_stars_no_positive_reviews,split_price,linear_stars,positive_reviews_dropped,propensity_0_05_0_95,1979,62,824,1155,0.4163719050025265
propensity_0_10_0_90,rank_pct,split_price_linear_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.003142696119812295,0.00573693360102228,-0.5478006786155394,0.586315666200472,-0.014671495821481348,0.008386103581856756,,49,1616,0.9815768700035888,50,62,split_price_linear_stars_no_positive_reviews,split_price,linear_stars,positive_reviews_dropped,propensity_0_10_0_90,1616,62,692,924,0.4282178217821782
full_sample,rank_pct,split_price_categorical_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.04809399618643453,0.016095053671895992,-2.9881227591314437,0.004040216056791612,-0.08027804511051714,-0.015909947262351905,***,61,5107,0.9599730524327164,119,62,split_price_categorical_stars,split_price,categorical_stars,positive_reviews_included,full_sample,5107,62,996,4111,0.1950264343058547
propensity_common_support,rank_pct,split_price_categorical_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,0.0016401176939680952,0.005025595994383427,0.326352873530041,0.7456703832945233,-0.00848195222946557,0.01176218761740176,,45,1547,0.9855469035206033,46,62,split_price_categorical_stars,split_price,categorical_stars,positive_reviews_included,propensity_common_support,1547,62,968,579,0.6257272139625081
propensity_0_05_0_95,rank_pct,split_price_categorical_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.00480184181505686,0.005021736312553541,-0.9562114607756326,0.3432268156899654,-0.01486981693883732,0.0052661333087236,,54,1828,0.9868862049169078,55,62,split_price_categorical_stars,split_price,categorical_stars,positive_reviews_included,propensity_0_05_0_95,1828,62,800,1028,0.437636761487965
propensity_0_10_0_90,rank_pct,split_price_categorical_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.003796658036039054,0.004951882378976188,-0.7667100600285303,0.4473482891461855,-0.013776521215087108,0.0061832051430089985,,44,1503,0.9870065476726302,45,62,split_price_categorical_stars,split_price,categorical_stars,positive_reviews_included,propensity_0_10_0_90,1503,62,750,753,0.499001996007984
full_sample,rank_pct,split_price_categorical_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.04743315109326557,0.014447621513322958,-3.283111413842397,0.0017022624374938289,-0.07632295581838644,-0.018543346368144704,***,61,5107,0.9599630946685093,119,62,split_price_categorical_stars_no_positive_reviews,split_price,categorical_stars,positive_reviews_dropped,full_sample,5107,62,996,4111,0.1950264343058547
propensity_common_support,rank_pct,split_price_categorical_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,0.0003644120030868569,0.005095600118083013,0.0715150315256587,0.9432520755621154,-0.009851651134546393,0.010580475140720106,,54,1980,0.9853203066380958,55,62,split_price_categorical_stars_no_positive_reviews,split_price,categorical_stars,positive_reviews_dropped,propensity_common_support,1980,62,951,1029,0.4803030303030303
propensity_0_05_0_95,rank_pct,split_price_categorical_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.003207948947136108,0.00475271694429391,-0.674971597243458,0.5026840809902986,-0.012744973218766031,0.0063290753244938155,,52,1877,0.9870496507998872,53,62,split_price_categorical_stars_no_positive_reviews,split_price,categorical_stars,positive_reviews_dropped,propensity_0_05_0_95,1877,62,824,1053,0.43899840170484816
propensity_0_10_0_90,rank_pct,split_price_categorical_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.005532145252313238,0.0034757747518341397,-1.5916293912296724,0.11831764321163063,-0.012528516953115448,0.0014642264484889716,,46,1593,0.9866457049177223,47,62,split_price_categorical_stars_no_positive_reviews,split_price,categorical_stars,positive_reviews_dropped,propensity_0_10_0_90,1593,62,726,867,0.455743879472693
full_sample,rank_pct,total_price_linear_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.05072587892529988,0.015952851761260586,-3.179737371375884,0.0023168955300005845,-0.0826255775550446,-0.018826180295555155,***,61,5107,0.959363038909812,119,62,total_price_linear_stars,total_price,linear_stars,positive_reviews_included,full_sample,5107,62,996,4111,0.1950264343058547
propensity_common_support,rank_pct,total_price_linear_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0014462392908058696,0.0049062675032614115,-0.29477383567946325,0.7691675483795193,-0.011256927504621622,0.008364448923009884,,61,2205,0.9856628764557692,62,62,total_price_linear_stars,total_price,linear_stars,positive_reviews_included,propensity_common_support,2205,62,934,1271,0.4235827664399093
propensity_0_05_0_95,rank_pct,total_price_linear_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0054486234618472875,0.003950914000988878,-1.3790792359650315,0.17290605404465587,-0.013348964280511367,0.0024517173568167922,,61,2129,0.9869675859582754,62,62,total_price_linear_stars,total_price,linear_stars,positive_reviews_included,propensity_0_05_0_95,2129,62,812,1317,0.38139971817754814
propensity_0_10_0_90,rank_pct,total_price_linear_stars,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0039910049065160005,0.004576611576203075,-0.8720436156889426,0.3876177345495837,-0.013197959829968367,0.005215950016936366,,47,1564,0.9809504004173499,48,62,total_price_linear_stars,total_price,linear_stars,positive_reviews_included,propensity_0_10_0_90,1564,62,719,845,0.45971867007672634
full_sample,rank_pct,total_price_linear_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.04889157615021737,0.014437426584534507,-3.386446737162317,0.001243869381660545,-0.07776099485528551,-0.02002215744514924,***,61,5107,0.9592811201185117,119,62,total_price_linear_stars_no_positive_reviews,total_price,linear_stars,positive_reviews_dropped,full_sample,5107,62,996,4111,0.1950264343058547
propensity_common_support,rank_pct,total_price_linear_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,5.3557451733073774e-05,0.0053248972703479796,0.010057931451806923,0.9920078895921927,-0.01059423271772992,0.010701347621196067,,61,2948,0.988763216939813,77,62,total_price_linear_stars_no_positive_reviews,total_price,linear_stars,positive_reviews_dropped,propensity_common_support,2948,62,928,2020,0.3147896879240163
propensity_0_05_0_95,rank_pct,total_price_linear_stars_no_positive_reviews,market_fe_ols,two_way_seller_market,fba_from_shipper,-0.0014297294139328407,0.006063109576464179,-0.2358079457252058,0.8143716350836734,-0.01355366632143929,0.01069420749357361,,61,2265,0.9830370515000801,64,62,total_price_linear_stars_no_positive_reviews,total_price,linear_stars,positive_reviews_dropped,propensity_0_05_0_95,2265,62,790,1475,0.3487858719646799
