variable,observations_with_value,seller_units,adjacent_lag_pairs,consecutive_lag_pairs,lag1_autocorrelation_used,pairs_used_for_corr,mean_abs_change,median_abs_change,share_unchanged,interpretation
rank_pct,5107,119,4988,4958,0.9945717225124452,consecutive_market_pairs,0.011560002527843135,0.005868105009583124,0.21480435659540137,High persistence affects effective information and motivates clustered/bootstrapped inference; it is not itself evidence of a biased coefficient.
rank_pos,5107,119,4988,4958,0.9943834636060372,consecutive_market_pairs,1.0679709560306576,1.0,0.4193223073820089,High persistence affects effective information and motivates clustered/bootstrapped inference; it is not itself evidence of a biased coefficient.
fba_from_shipper,5107,119,4988,4958,1.0,consecutive_market_pairs,0.0,0.0,1.0,High persistence affects effective information and motivates clustered/bootstrapped inference; it is not itself evidence of a biased coefficient.
prezzo,5107,119,4988,4958,0.9936451366125059,consecutive_market_pairs,0.1489612747075434,0.0,0.9419120613150463,High persistence affects effective information and motivates clustered/bootstrapped inference; it is not itself evidence of a biased coefficient.
prezzo_spedizione_repaired,5107,119,4988,4958,0.9971266783286515,consecutive_market_pairs,0.01586728519564341,0.0,0.9897135941912061,High persistence affects effective information and motivates clustered/bootstrapped inference; it is not itself evidence of a biased coefficient.
prezzo_totale_reconstructed,5107,119,4988,4958,0.9942672801920653,consecutive_market_pairs,0.1648164582492941,0.0,0.9322307382008874,High persistence affects effective information and motivates clustered/bootstrapped inference; it is not itself evidence of a biased coefficient.
g_cons_min_robust,5107,119,4988,4958,0.9497518379136884,consecutive_market_pairs,0.5026220250100847,0.0,0.6857603872529245,High persistence affects effective information and motivates clustered/bootstrapped inference; it is not itself evidence of a biased coefficient.
g_cons_max_robust,5107,119,4988,4958,0.9771064016835127,consecutive_market_pairs,0.5320693828156515,0.0,0.6811214199273901,High persistence affects effective information and motivates clustered/bootstrapped inference; it is not itself evidence of a biased coefficient.
log1p_num_valutazioni,5107,119,4988,4958,0.9999780060876161,consecutive_market_pairs,0.0013223346142600628,0.0,0.8188785800726099,High persistence affects effective information and motivates clustered/bootstrapped inference; it is not itself evidence of a biased coefficient.
valutazioni_positive,5107,119,4988,4958,0.9943750593404499,consecutive_market_pairs,0.12121823315853167,0.0,0.9572408229124647,High persistence affects effective information and motivates clustered/bootstrapped inference; it is not itself evidence of a biased coefficient.
stelle,5107,119,4988,4958,0.9932981506603757,consecutive_market_pairs,0.005042355788624445,0.0,0.9929407018959258,High persistence affects effective information and motivates clustered/bootstrapped inference; it is not itself evidence of a biased coefficient.
fast_delivery_available,5107,119,4988,4958,0.8993230129155823,consecutive_market_pairs,0.03146430012101654,0.0,0.9685356998789835,High persistence affects effective information and motivates clustered/bootstrapped inference; it is not itself evidence of a biased coefficient.
fast_delivery_cost_imputed,5107,119,4988,4958,0.4613923666701071,consecutive_market_pairs,0.14392295280354983,0.0,0.9711577248890682,High persistence affects effective information and motivates clustered/bootstrapped inference; it is not itself evidence of a biased coefficient.
